Datum;Grupp;Serie;rate
2012-08-07;Valutor mot svenska kronor;1 GBP;10.456
2012-08-08;Valutor mot svenska kronor;1 GBP;10.4936
2012-08-09;Valutor mot svenska kronor;1 GBP;10.4884
2012-08-10;Valutor mot svenska kronor;1 GBP;10.4801
2012-08-13;Valutor mot svenska kronor;1 GBP;10.4706
2012-08-14;Valutor mot svenska kronor;1 GBP;10.4583
2012-08-15;Valutor mot svenska kronor;1 GBP;10.5023
2012-08-16;Valutor mot svenska kronor;1 GBP;10.4972
2012-08-17;Valutor mot svenska kronor;1 GBP;10.5543
2012-08-20;Valutor mot svenska kronor;1 GBP;10.4829
2012-08-21;Valutor mot svenska kronor;1 GBP;10.4691
2012-08-22;Valutor mot svenska kronor;1 GBP;10.523
2012-08-23;Valutor mot svenska kronor;1 GBP;10.5484
2012-08-24;Valutor mot svenska kronor;1 GBP;10.4751
2012-08-27;Valutor mot svenska kronor;1 GBP;10.4542
2012-08-28;Valutor mot svenska kronor;1 GBP;10.3839
2012-08-29;Valutor mot svenska kronor;1 GBP;10.5098
2012-08-30;Valutor mot svenska kronor;1 GBP;10.5625
2012-08-31;Valutor mot svenska kronor;1 GBP;10.5379
2012-09-03;Valutor mot svenska kronor;1 GBP;10.587
2012-09-04;Valutor mot svenska kronor;1 GBP;10.6143
2012-09-05;Valutor mot svenska kronor;1 GBP;10.6893
2012-09-06;Valutor mot svenska kronor;1 GBP;10.7455
2012-09-07;Valutor mot svenska kronor;1 GBP;10.7498
2012-09-10;Valutor mot svenska kronor;1 GBP;10.597
2012-09-11;Valutor mot svenska kronor;1 GBP;10.6271
2012-09-12;Valutor mot svenska kronor;1 GBP;10.6265
2012-09-13;Valutor mot svenska kronor;1 GBP;10.6142
2012-09-14;Valutor mot svenska kronor;1 GBP;10.6246
2012-09-17;Valutor mot svenska kronor;1 GBP;10.6769
2012-09-18;Valutor mot svenska kronor;1 GBP;10.6975
2012-09-19;Valutor mot svenska kronor;1 GBP;10.6545
2012-09-20;Valutor mot svenska kronor;1 GBP;10.6124
2012-09-21;Valutor mot svenska kronor;1 GBP;10.6266
2012-09-24;Valutor mot svenska kronor;1 GBP;10.6634
2012-09-25;Valutor mot svenska kronor;1 GBP;10.7048
2012-09-26;Valutor mot svenska kronor;1 GBP;10.6567
2012-09-27;Valutor mot svenska kronor;1 GBP;10.6716
2012-09-28;Valutor mot svenska kronor;1 GBP;10.6058
2012-10-01;Valutor mot svenska kronor;1 GBP;10.6096
2012-10-02;Valutor mot svenska kronor;1 GBP;10.6469
2012-10-03;Valutor mot svenska kronor;1 GBP;10.7112
2012-10-04;Valutor mot svenska kronor;1 GBP;10.7351
2012-10-05;Valutor mot svenska kronor;1 GBP;10.7015
2012-10-08;Valutor mot svenska kronor;1 GBP;10.6667
2012-10-09;Valutor mot svenska kronor;1 GBP;10.6536
2012-10-10;Valutor mot svenska kronor;1 GBP;10.7173
2012-10-11;Valutor mot svenska kronor;1 GBP;10.7559
2012-10-12;Valutor mot svenska kronor;1 GBP;10.7322
